2019-10-27 10:29:10,392 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 744 
2019-10-27 10:29:14,551 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 996 
2019-10-27 10:29:14,551 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 996 
2019-10-27 10:29:14,561 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 1006 
2019-10-27 10:29:14,569 , server, user_uttered, INFO, 20, User : bye, server.py, MainProcess, 4921 
2019-10-27 10:29:14,569 , server, send_msg, INFO, 20, Bot : BYE, server.py, MainProcess, 4921 
2019-10-27 10:29:14,612 , client, on_bot_msg, INFO, 20, Bot: BYE, client.py, MainProcess, 1057 
2019-10-27 10:29:18,419 , client, <module>, INFO, 20, User: hello, client.py, MainProcess, 4864 
2019-10-27 10:29:18,421 , server, user_uttered, INFO, 20, User : hello, server.py, MainProcess, 8773 
2019-10-27 10:29:18,421 , server, send_msg, INFO, 20, Bot : HELLO, server.py, MainProcess, 8773 
2019-10-27 10:29:18,422 , client, on_bot_msg, INFO, 20, Bot: HELLO, client.py, MainProcess, 4867 
2019-10-27 10:29:23,312 , client, <module>, INFO, 20, User: hello world, client.py, MainProcess, 9757 
2019-10-27 10:29:23,314 , server, user_uttered, INFO, 20, User : hello world, server.py, MainProcess, 13666 
2019-10-27 10:29:23,314 , server, send_msg, INFO, 20, Bot : HELLO WORLD, server.py, MainProcess, 13666 
2019-10-27 10:29:23,315 , client, on_bot_msg, INFO, 20, Bot: HELLO WORLD, client.py, MainProcess, 9760 
2019-10-27 10:29:56,460 , client, disconnect, DEBUG, 10, I'm disconnected!, client.py, MainProcess, 42904 
2019-10-27 10:29:59,874 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 831 
2019-10-27 10:30:03,631 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 896 
2019-10-27 10:30:03,631 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 896 
2019-10-27 10:30:03,642 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 907 
2019-10-27 10:30:03,653 , server, user_uttered, DEBUG, 10, User : bye, server.py, MainProcess, 4610 
2019-10-27 10:30:03,653 , server, send_msg, INFO, 20, Bot : BYE, server.py, MainProcess, 4610 
2019-10-27 10:30:03,654 , client, on_bot_msg, INFO, 20, Bot: BYE, client.py, MainProcess, 919 
2019-10-27 10:30:08,456 , client, <module>, DEBUG, 10, User: hi, client.py, MainProcess, 5720 
2019-10-27 10:30:08,457 , server, user_uttered, DEBUG, 10, User : hi, server.py, MainProcess, 9414 
2019-10-27 10:30:08,457 , server, send_msg, INFO, 20, Bot : HI, server.py, MainProcess, 9414 
2019-10-27 10:30:08,459 , client, on_bot_msg, INFO, 20, Bot: HI, client.py, MainProcess, 5724 
2019-10-27 10:30:09,699 , client, <module>, DEBUG, 10, User: bye, client.py, MainProcess, 6964 
2019-10-27 10:30:09,701 , server, user_uttered, DEBUG, 10, User : bye, server.py, MainProcess, 10658 
2019-10-27 10:30:09,701 , server, send_msg, INFO, 20, Bot : BYE, server.py, MainProcess, 10658 
2019-10-27 10:30:09,703 , client, on_bot_msg, INFO, 20, Bot: BYE, client.py, MainProcess, 6968 
2019-10-27 10:30:13,766 , client, <module>, DEBUG, 10, User: chalo milte hai\, client.py, MainProcess, 11031 
